,open,high,low,close,volume,&-s_close,&-s_close_mean,&-s_close_std,target_roi,do_predict,%%-tenkan_sen,%%-kijun_sen,%%-senkou_a,%%-senkou_b,%%-cloud_green,%%-cloud_red,%%-trend_close_period_1,%%-trend_open_period_1,%%-trend_close_period_3,%%-trend_open_period_3,%%-trend_close_period_6,%%-trend_open_period_6,%%-trend_close_period_12,%%-trend_open_period_12,%%-trend_close_period_24,%%-trend_open_period_24,%%-trend_close_period_48,%%-trend_open_period_48,%%-trend_close_period_72,%%-trend_open_period_72,%%-trend_close_period_96,%%-trend_open_period_96,%%-fan_magnitude,%%-fan_magnitude_gain,enter_long,enter_short,exit_long,exit_short
81975,115020.15593642386,115153.8,114933.5,115099.4,279.936,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115113.4,115063.7,114942.0,115147.25,False,True,115099.4,115020.15593642386,115057.05250846126,115038.6793632709,115053.10905115682,115046.1051260384,115058.22327540159,115056.03208376764,115049.27178040495,115043.71622866987,115029.12356300444,115022.87063801334,115031.95994311744,115027.65518899474,115039.40708269454,115036.47100301203,1.0001635630188317,1.000054093194158,0,0,0,0
81976,115029.95296821193,115107.4,115008.0,115107.3,111.229,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115132.29999999999,115063.7,114942.0,115147.25,False,True,115107.3,115029.95296821193,115082.17625423064,115034.31616574142,115068.59217939773,115041.49022380226,115065.77354072442,115052.01991214369,115053.91403797256,115042.61516783324,115032.31443798385,115023.15971271532,115034.02405426491,115027.71814185001,115040.8069366596,115036.33661054193,1.000217023895517,1.0000534521338929,0,0,0,0
81977,115055.23898410596,115107.4,114941.4,114945.4,151.153,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115132.29999999999,115063.7,114942.0,115147.25,False,True,114945.4,115055.23898410596,115013.78812711532,115044.77757492369,115033.39441385552,115045.41844103188,115047.25453445912,115052.51515398404,115045.23291493475,115043.62507313506,115028.76690990287,115024.46907073127,115031.59599798368,115028.47213752825,115038.83978332642,115036.72635020304,1.0000731470444986,0.9998561543669212,0,0,1,0
81978,115040.31949205298,115064.2,114880.0,115064.2,260.797,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115132.29999999999,115063.7,114942.0,115147.25,False,True,115064.2,115040.31949205298,115038.99406355765,115042.54853348833,115042.1960098968,115043.96159846649,115049.86152915772,115050.63889830234,115046.75028173997,115043.36062664849,115030.21315847826,115025.11602670359,115032.4892583129,115028.79672258372,115039.36267439186,115036.80043560201,1.0000912631513403,1.000018114781799,0,0,0,0
81979,115014.38474602648,115100.5,114990.0,115095.9,191.884,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115132.29999999999,115063.7,114942.0,115147.25,False,True,115095.9,115014.38474602648,115067.44703177882,115028.4666397574,115057.54000706914,115035.5110691979,115056.94437082576,115045.06133641374,115050.68225920077,115041.04255619872,115032.89425405058,115024.67801524738,115034.22653890707,115028.40187391092,115040.52839244563,115036.3382564355,1.0001426973485739,1.000051429503615,0,0,0,0
81980,115038.50487301324,115140.5,115018.1,115072.2,255.38,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115132.29999999999,115063.7,114942.0,115147.25,False,True,115072.2,115038.50487301324,115069.82351588941,115033.48575638531,115061.72857647795,115036.36644171657,115059.29139069872,115044.05264973674,115052.4036784647,115040.83954154389,115034.49857021178,115025.24237678884,115035.26690770414,115028.67866840686,115041.1814152818,115036.38292894226,1.000157421674518,1.0000147222251217,0,0,0,0
81981,115060.10243650663,115164.4,115060.10243650663,115164.3,153.816,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115102.35,115063.7,114942.0,115147.25,False,True,115164.3,115060.10243650663,115117.0617579447,115046.79409644597,115091.03469748425,115043.14815451374,115075.44656136046,115046.52184770134,115061.35538418753,115042.38057314091,115039.79658775416,115026.66523636915,115038.80206091772,115029.53959356029,115043.71994280176,115036.87199095389,1.000275778795874,1.0001183384923125,0,0,0,0
81982,115087.87621825331,115196.2,115030.0,115087.7,122.93,0.000367758,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115059.35,115063.7,114921.825,115147.25,False,True,115087.7,115087.87621825331,115102.38087897236,115067.33515734965,115090.08192677447,115055.92760129647,115077.33170576654,115052.88405855549,115063.46295345253,115046.0202247499,115041.75182907032,115029.163643793,115040.14173048161,115031.1378572505,115044.62674810481,115037.92362450645,1.0002842806186276,1.0000084994787775,0,0,1,0
81983,115103.71310912666,115128.5,115040.5,115064.9,102.037,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115059.35,115063.7,114921.5,115147.25,False,True,115064.9,115103.71310912666,115083.64043948617,115085.52413323816,115082.8870905532,115069.58060353367,115075.41913564861,115060.70391248951,115063.57791717633,115050.63565550004,115042.69665237356,115032.20647911273,115040.82003923554,115033.12622031561,115045.04475329853,115039.28010872542,1.0002640216483485,0.9999797467873167,0,0,0,0
81984,115092.05655456333,115154.1,115040.5,115106.5,380.672,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,115046.79999999999,115063.7,114921.5,115147.25,False,True,115106.5,115092.05655456333,115095.0702197431,115088.79034390074,115089.63363610943,115076.00230382786,115080.20080708728,115065.52739588548,115067.01168380222,115053.9493274251,115045.30087064403,115034.64933933521,115042.61949021538,115034.74075002102,115046.31187178721,115040.3682828664,1.0002945677679598,1.0000305380569032,0,0,0,0
