,open,high,low,close,volume,&-s_close,&-s_close_mean,&-s_close_std,target_roi,do_predict,%%-tenkan_sen,%%-kijun_sen,%%-senkou_a,%%-senkou_b,%%-cloud_green,%%-cloud_red,%%-fan_magnitude,%%-fan_magnitude_gain,enter_long,enter_short,exit_long,exit_short
73333,239.97830538374558,239.97830538374558,238.66,238.86,282984.62,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.8,239.61,238.2275,235.885,True,False,1.0,1.0,0,0,1,0
73334,239.62665269187278,239.62665269187278,238.35,238.59,154224.03,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.8,239.61,238.2275,235.885,True,False,1.0,1.0,0,0,1,0
73335,239.1545763459364,239.1545763459364,238.4,238.87,105408.81,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.865,239.61,238.82750000000001,236.35500000000002,True,False,1.0,1.0,0,0,1,0
73336,238.9522881729682,239.16,238.43,239.16,109463.67,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.93,239.61,238.82750000000001,236.35500000000002,True,False,1.0,1.0,0,0,1,0
73337,238.9286440864841,239.16,238.75,238.83,60750.72,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.95999999999998,239.61,238.82750000000001,236.35500000000002,True,False,1.0,1.0,0,0,1,0
73338,238.95182204324203,239.28,238.59,239.19,56844.67,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,240.055,239.61,238.82750000000001,236.565,True,False,1.0,1.0,0,0,1,0
73339,238.96216102162103,239.32,238.48,238.62,61683.88,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,240.055,239.61,238.82750000000001,236.6348778248302,True,False,1.0,1.0,0,0,1,0
73340,238.93108051081052,239.03,238.63,238.91,55495.54,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,240.055,239.61,238.9275,236.7718139124151,True,False,1.0,1.0,0,0,1,0
73341,238.86554025540525,239.28,238.86554025540525,239.27,48102.9,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,240.055,239.61,238.98756344076403,236.89499999999998,True,False,1.0,1.0,0,0,1,0
73342,238.97652012770263,239.57,238.97652012770263,239.47,99198.5,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,240.055,239.61,239.0025,236.89499999999998,True,False,1.0,1.0,0,0,1,0
73343,239.16826006385133,239.66,239.16826006385133,239.2,68995.64,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,240.055,239.61,239.0025,236.97,True,False,1.0,1.0,0,0,1,0
73344,239.27288003192567,239.27288003192567,238.39,238.59,147213.09,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,240.055,239.61,239.0025,237.07917586952595,True,False,1.0,1.0,0,0,1,0
73345,239.06769001596285,239.06769001596285,237.85,238.48,159092.27,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.535,239.61,239.0025,237.18771293476297,True,False,1.0,1.0,0,0,1,0
73346,238.7363450079814,238.78,238.21,238.68,68871.42,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.36952227985842,239.61,239.0125,237.3213564673815,True,False,1.0,1.0,0,0,1,0
73347,238.63567250399072,238.89,238.63,238.73,71896.61,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.175,239.61,239.0325,237.345,True,False,1.0,1.0,0,0,1,0
73348,238.68408625199538,238.85,238.19,238.66,79837.23,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.175,239.61,239.05,237.345,True,False,1.0,1.0,0,0,1,0
73349,238.6445431259977,238.79,238.47,238.74,57163.25,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.175,239.61,239.08249999999998,237.345,True,False,1.0,1.0,0,0,1,0
73350,238.65477156299886,239.34,238.62,238.74,100587.37,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.11,239.61,239.51,237.975,True,False,1.0,1.0,0,0,1,0
73351,238.75863578149944,238.8,238.18,238.5,60023.08,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,239.03,239.61,239.6375,238.13,True,False,1.0,1.0,0,0,1,0
73352,238.65681789074972,238.65681789074972,238.21,238.44,43051.7,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,238.9141526918728,239.61,239.64749999999998,238.22697431980282,True,False,1.0,1.0,0,0,1,0
73353,238.53965894537487,238.53965894537487,238.05,238.11,76596.93,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,238.755,239.61,239.64749999999998,238.31286215990144,True,False,1.0,1.0,0,0,1,0
73354,238.40732947268742,238.62,238.06,238.58,52147.45,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,238.755,239.61,239.66750000000002,238.6064310799507,True,False,1.0,1.0,0,0,1,0
73355,238.3736647363437,238.82,238.3736647363437,238.7,64941.8,-0.0015390697,6.052389843987873e-05,0.006167146751422371,0.0006772385735821159,1.0,238.755,239.61,239.66750000000002,238.97446553997537,True,False,1.0,1.0,0,0,1,0
